Total Network Latency (s),Total Computing Latency (s),Throughput (kbps),Selected Bitrate (kbps),Resolution
1.4071100364556715,1.082577909101101,13477.364526700223,8000,1080p
1.4965743314630349,1.5839996132019099,10892.266377215466,8000,1080p
1.1413781628348385,1.1962329304708579,14354.155015815535,8000,1080p
1.6093400902827586,2.1163145191669095,9006.318490955462,8000,1080p
1.155010551865753,1.2827600743105378,13764.392613357162,8000,1080p
0.8187110103777986,0.9906172782099287,18545.242569656024,15000,1440p
0.9237273356618261,1.0363922295263557,17118.56388555491,15000,1440p
0.9793731946045701,1.4553673391061581,13781.5227271304,8000,1080p
1.4517938841795364,1.268775729101251,12333.605373007185,8000,1080p
1.3397251416955072,1.569902843985772,11532.206923059048,8000,1080p
1.1526778636202437,1.0507986356110164,15227.950927412357,15000,1440p
1.464621733700108,1.0886363475211045,13141.809771126254,8000,1080p
0.9496412222526276,1.1038609707306701,16340.100397581078,15000,1440p
1.081207956476021,1.0869286936508304,15476.161061175191,15000,1440p
1.2424109772828178,0.9345127107286708,15413.692351636957,15000,1440p
0.8087608179086012,0.8771463115562512,19902.894657460158,15000,1440p
1.5869705329466044,1.130792911511875,12346.34017482923,8000,1080p
0.9650627613066086,1.2189892766985464,15363.384853525547,15000,1440p
1.0103846506812177,1.3750857072657945,14066.170174035478,8000,1080p
1.5261713900581668,1.9109772254510324,9762.287219294138,8000,1080p
1.9616435096790805,1.4443704469664358,9851.52510444989,8000,1080p
1.429606223791915,1.014969080768028,13726.07828337702,8000,1080p
1.1613174893021132,1.0517873012467784,15161.700495744655,15000,1440p
1.3514712660205817,1.7613396879548668,10779.463480474713,8000,1080p
1.7062602697334404,1.7827838728049308,9617.084401686092,8000,1080p
1.75440827098408,1.5144108424072888,10265.001162816745,8000,1080p
1.317674895129553,1.2023622425811067,13315.054567204788,8000,1080p
1.1601623681389268,0.823815944203369,16912.701006487037,15000,1440p
1.440305781849645,1.6199548839456295,10964.566638077597,8000,1080p
1.6012769822545212,1.2777711642011442,11654.696376407648,8000,1080p
1.0838380279824296,1.1566332344928993,14976.506310073453,8000,1080p
1.2094831635704852,1.109413776017488,14469.997103865266,8000,1080p
1.3716992659629847,1.3383874143630867,12381.313204329985,8000,1080p
1.1652239076693738,0.8400327966050909,16733.23516558971,15000,1440p
1.1007089766493716,1.0873252842822447,15335.423489078854,15000,1440p
0.8468081851212735,0.6545681538104805,22349.1146955695,15000,1440p
1.0023521849225372,0.8657891361557775,17961.39918399319,15000,1440p
1.2625906272145246,1.2773209125229896,13210.866392405014,8000,1080p
1.3099709686021994,1.5210021020607394,11852.614335233658,8000,1080p
0.9770162722700084,0.6903106341459837,20124.686929048028,15000,1440p
1.466456687535821,0.9783672935735626,13724.682128148164,8000,1080p
1.3688467025849225,1.8675680892345217,10367.778594021443,8000,1080p
0.9391227664077746,1.0399629625865279,16954.511625451974,15000,1440p
1.5455741845815225,1.942868518976068,9618.742473763567,8000,1080p
1.0662333044310643,1.3653441212877326,13799.450367113437,8000,1080p
1.0140541932112281,0.9076232494186236,17461.011539002156,15000,1440p
2.2140444120793656,1.6741887318333166,8629.737661830273,8000,1080p
1.1892867525708986,1.1532330126816412,14324.076363292756,8000,1080p
1.0013581122760065,0.9029641681395777,17620.143578153875,15000,1440p
1.3545367068356375,1.6945107052392325,11004.890205090736,8000,1080p
1.7691732494735808,2.403028006938345,8042.380972977478,8000,1080p
2.3523620829656515,2.592851047878203,6785.234753729259,4000,720p
1.2254995813655971,1.4500815856438045,12540.988258451924,8000,1080p
1.068643167617885,1.4912539202715511,13107.726931188743,8000,1080p
0.9882590345669152,0.9549425540495456,17267.60218629216,15000,1440p
0.6425499313716111,0.8905412323064749,21886.781944198632,15000,1440p
0.9778091562149384,0.9796887481675381,17141.490637041203,15000,1440p
0.9729698692082406,0.6869704426955846,20214.240090064217,15000,1440p
1.531435041404355,1.0700854524159265,12898.007945624899,8000,1080p
1.028796418131467,1.340996580664119,14159.224884643327,8000,1080p
1.1906912790420916,0.9357026654889846,15779.969692962797,15000,1440p
0.7199264383905636,1.0409726387340266,19055.2839943512,15000,1440p
1.5861224984071185,1.691870824017361,10236.2722249789,8000,1080p
1.2150368814626742,1.4725550875259044,12484.942799046812,8000,1080p
1.350791450062648,1.2092813749959397,13106.827146306709,8000,1080p
1.0333065852130792,1.0385981743916857,16194.968347097587,15000,1440p
0.9408501763563223,1.1540694224157533,16017.050019326627,15000,1440p
0.9315040389597227,0.7521240227205725,19929.836502316306,15000,1440p
0.8196751727802272,0.6394008430003577,22997.04171482036,15000,1440p
1.0084615051840935,1.4601392922593692,13592.490140467307,8000,1080p
1.4406808153936286,1.0362573484221507,13546.73785974077,8000,1080p
1.1612092722225176,1.5018902894633117,12599.766258366602,8000,1080p
1.5155736182639947,2.2651564911263886,8875.119627465401,8000,1080p
1.265236432317618,1.6820960439795547,11384.678270893788,8000,1080p
0.9349825292842331,1.3443036060995106,14721.465409322436,8000,1080p
1.0093754755620652,1.4282978618098103,13764.941957389574,8000,1080p
1.2081782101949423,1.5227928350247668,12286.630449170696,8000,1080p
1.3102342376649792,0.9390081443542013,14918.104099513568,8000,1080p
1.3170622339543634,1.1405864814752205,13653.06269742251,8000,1080p
1.931743761515196,1.6253659712827664,9433.060692678337,8000,1080p
0.6750422828611247,0.678317704584835,24793.426960496603,15000,1440p
1.0720197731567098,1.3391648381049746,13916.160481151295,8000,1080p
1.436261465994875,2.1001053245241357,9488.391331453327,8000,1080p
1.1265129946328778,1.117938789790228,14949.945564825104,8000,1080p
1.1364551764768458,1.1708939072897953,14542.416765660762,8000,1080p
1.1148014957420493,1.1145378764483531,15051.289372345143,15000,1440p
1.1643165579833405,1.2394430760372332,13959.14613304169,8000,1080p
1.6415352016183902,1.2140301386550179,11750.539035743901,8000,1080p
0.7996383359245208,0.7058901697027965,22287.477038515906,15000,1440p
1.4513576592962727,1.287012324451631,12253.432589147547,8000,1080p
1.3868555173473023,1.0558265790731725,13736.71672182431,8000,1080p
1.0496225931475007,1.4979996639803042,13170.881949284485,8000,1080p
0.8913895349318579,1.2367468199866198,15767.04985206898,15000,1440p
1.2202005776969957,1.6261671184178632,11788.509280020295,8000,1080p
2.0312621770959174,1.579728471411387,9292.306534737381,8000,1080p
1.6017183406415543,2.202406967879167,8820.538041910095,8000,1080p
1.8045881573206521,1.2338566666615487,11043.291533602178,8000,1080p
1.0872568745823437,0.8006396199902135,17773.448966330718,15000,1440p
1.2417012058229455,1.2282945616166596,13584.813562163505,8000,1080p
2.198453303016135,1.6850821613574958,8640.176537028725,8000,1080p
1.3956475083375215,1.5651330580822493,11332.968197833932,8000,1080p
1.353396875213655,1.7896588270347702,10675.73571031414,8000,1080p
1.1373120215192265,1.4154350364389816,13144.440572517284,8000,1080p
1.486572326331604,1.1964083347088164,12506.400991719443,8000,1080p
1.1775819803078795,1.5525678613339478,12290.3261528757,8000,1080p
0.8979003066853659,0.953202098115357,18126.729192819694,15000,1440p
1.229221163454319,0.9203062492431815,15610.143793370667,15000,1440p
1.0076851122666974,0.890751329398684,17674.772388252706,15000,1440p
0.8818156530375867,0.7244006116001591,20890.35750585406,15000,1440p
1.791176422966262,1.7537463437253435,9465.49028240623,8000,1080p
0.8778991666722556,1.0580977376032594,17331.862424933304,15000,1440p
1.3564568488059687,1.3946670589721428,12196.626951310072,8000,1080p
1.2912665372099172,1.3093959782573412,12902.26309659072,8000,1080p
1.0693952230857735,1.0923318168048852,15522.048519917298,15000,1440p
1.0413232710436648,1.122038897355586,15510.316529584192,15000,1440p
