Total Network Latency (s),Total Computing Latency (s),Throughput (kbps),Selected Bitrate (kbps)
1.4873001982557486,1.0317219316939759,13320.41969820634,8000
1.8729858054985487,2.637337855051146,7439.473200890103,4000
2.1115003317943466,1.500059600591885,9290.841804701799,8000
1.5967834602868325,1.5339965588339974,10717.594910875465,8000
0.825497418779864,0.8270688905636034,20304.43910800198,15000
1.109269116069235,1.0781078429925768,15340.031749439217,15000
1.3746371586972144,1.1880228900243646,13093.594687574392,8000
0.9979074970295609,1.435651943125314,13788.211393704256,8000
1.0205320079413458,0.9170323771586835,17317.841026618433,15000
1.1627779784348158,1.1057978536201125,14790.96776306817,8000
1.8816217453671917,1.270386906465825,10645.412404082957,8000
1.0315909085563295,0.7610604058956263,18717.76832978708,15000
1.5954108942762522,1.5590672094993814,10637.07874841112,8000
1.57410732566659,2.088609842431584,9161.076452272937,8000
1.3782832388606763,1.59329444434441,11291.790280174953,8000
1.3633711474667063,0.9437047576692459,14544.138719190816,8000
1.2600485716890035,1.4214454752047878,12513.334511732006,8000
1.1727146155174049,1.2238731871926876,14000.91912428838,8000
1.7635925571628408,1.5891574007217066,10008.032934603783,8000
0.6887730193810049,0.8725622368116654,21490.856538923468,15000
1.3302159441502142,1.4787283818550299,11945.566770175052,8000
2.51471994912471,1.8988665332678076,7602.531894154889,4000
1.1179932904435237,1.3245578311802966,13737.453313850334,8000
1.118425183089784,1.2573674146474523,14123.468535072494,8000
1.0835216025837862,0.7998884855968078,17815.78648780317,15000
1.208479354910874,1.1199677563292698,14410.648125964399,8000
1.174142617967303,1.3297173363791295,13401.081774463106,8000
2.8742687090528216,2.245764008686394,6553.558121561415,4000
1.727058638429199,1.2588229811642744,11237.696692264853,8000
1.7479961744788275,2.0913131893653603,8739.705196979212,8000
1.0815598356576162,0.9416159624989595,16585.030342184426,15000
1.5998374180058585,1.3881142823626218,11229.91111130143,8000
0.9520049101596842,1.1513099862799168,15953.118601879096,15000
0.9013477593649104,1.0326884400170764,17349.433278819797,15000
1.1183735670681216,0.9564875507421495,16171.89300622302,15000
1.1438275549167374,1.698336485898711,11805.944877964492,8000
1.5151762592872722,1.2574536847460498,12102.023233287542,8000
1.5183389900756048,2.0038799222829775,9526.50384173054,8000
1.224277609740325,1.3777335138114342,12895.575924440333,8000
1.3877938937404608,0.9473103224495982,14369.56507866154,8000
0.7214212064524828,0.5523676048052737,26342.225417153644,15000
1.292761235486861,0.9357167604127044,15057.107165401985,15000
1.413553669249327,0.9703985890559501,14075.127504379405,8000
2.2445581986077356,2.731482798962808,6743.198461665068,4000
1.1652673339609452,0.8113098789430349,16976.028955985963,15000
1.0911384622475593,0.7784114000292837,17947.8668512941,15000
0.6488017337460231,0.9113523508180813,21507.12697674016,15000
1.8726816214943058,1.7816036542896674,9182.214706212664,8000
1.3708039954940723,1.1365398131875442,13382.461505206667,8000
2.2470447868928973,1.8880867457567385,8114.477552906181,8000
0.8310046130053127,0.6593265201789106,22514.749408950483,15000
0.9179116002213765,0.8189098317790846,19319.448379533293,15000
1.013307791743308,1.0353825059110053,16378.479479508827,15000
1.2684816486178887,0.8951441767132113,15508.42646041404,15000
1.9228732918108398,1.9598204851888548,8642.049547860246,8000
1.1899209083407836,1.0683426596117556,14858.510085437998,8000
2.178703371792735,3.2549166138711394,6175.336532280579,4000
1.0608298044304483,1.1977974910396496,14856.117282960653,8000
1.7409575056028743,1.435480574612179,10563.5404036361,8000
0.9531015290183721,1.291723025371001,14947.463014154051,8000
1.3432091110987627,1.114663663991853,13651.818084344472,8000
1.741850033350164,1.2783482121361216,11110.009765136248,8000
1.0781209497171447,0.9775345327365312,16322.984219101096,15000
0.7294184611749196,0.875453169240734,20907.860394609612,15000
1.0608215987282044,0.9477844445161374,16705.33259264828,15000
1.5768200787032036,1.622368248820805,10488.42036316419,8000
1.6725787731062078,2.1464920691506313,8786.019790136013,8000
1.5365372481711697,1.568354767876374,10806.956192542251,8000
1.6252346512696474,1.569027055314979,10504.597018719898,8000
1.353857840075315,1.1683763641192326,13303.45609626498,8000
1.2233292584169908,1.2737118645988559,13437.676973246651,8000
