Total Network Latency (s),Total Computing Latency (s),Throughput (kbps),Selected Bitrate (kbps),Resolution
0.8574030138518935,1.1321004194038846,16865.73214155701,15000,1440p
0.9570710630198966,1.2761504593757518,15025.124764159125,15000,1440p
1.077674870780338,1.4692157165790598,13174.665675288805,8000,1080p
1.5489791888001936,1.1935542102990897,12234.83076305292,8000,1080p
1.2916759877381534,0.9362285404583475,15060.982899102264,15000,1440p
1.0033711058424517,0.7955732606771502,18652.289989888566,15000,1440p
1.1023508120471828,1.0184366032125762,15821.685737365702,15000,1440p
1.9184350825479861,1.310856569025191,10390.6477396223,8000,1080p
1.0874919192021864,1.0915610973080971,15398.630389331625,15000,1440p
0.9328398264432242,0.8467374424187216,18855.2824241559,15000,1440p
1.276370483054888,1.4823212061797455,12163.168552303603,8000,1080p
0.9249314094474915,1.1960133773827697,15820.511787177116,15000,1440p
1.5058669827642723,1.7623883275049774,10266.771966855818,8000,1080p
1.63821464040424,1.6351523309162883,10250.73946611724,8000,1080p
1.009277883973954,0.9412635910837999,17202.624209262958,15000,1440p
0.9241489286355489,0.6681586872544347,21072.83270214438,15000,1440p
0.9227284059125378,1.0492270194829454,17015.816670029715,15000,1440p
1.203693229800502,1.1989387028735856,13965.698009621681,8000,1080p
1.2350668735504218,1.227027237960263,13628.41162046879,8000,1080p
1.3019751899421907,1.39965671531354,12420.06060659985,8000,1080p
1.0828540524521912,1.4987084924245773,12997.7218900198,8000,1080p
1.1334711884322044,1.0720932721725214,15213.534947330438,15000,1440p
1.2298230297961013,0.8818810913362847,15889.741211475537,15000,1440p
1.412321700707222,1.358587709407654,12109.537712605663,8000,1080p
1.3234802205107563,1.0382969604813788,14207.280970470067,8000,1080p
1.0200581568321991,0.7880990576877183,18557.25361188187,15000,1440p
0.8542712693427064,1.2567024087203842,15895.239409516296,15000,1440p
1.1054578054564668,1.110738815934679,15140.548305202852,15000,1440p
1.0762587939338495,1.1171630567411128,15297.755873852808,15000,1440p
1.7866395883669004,1.3464456943364687,10709.709111731456,8000,1080p
1.4870501391003739,1.1614926832559451,12669.016229138315,8000,1080p
0.9960861535499997,1.0860342234431282,16115.51011688252,15000,1440p
1.557168620446195,2.0469812597204475,9309.943569396888,8000,1080p
1.3520732415268968,0.9776579976941304,14402.705099674637,8000,1080p
0.814555408984596,1.076585226954772,17742.959652142865,15000,1440p
0.9233513175435809,0.8209462503721087,19236.644376048254,15000,1440p
1.0329340087001204,0.8233862485007528,18075.77753345018,15000,1440p
1.3115454920282958,1.0451676490552189,14237.809182229588,8000,1080p
1.1147242183561794,1.278253431408274,14022.041536118335,8000,1080p
1.0616099154175949,0.8199973431639311,17832.85637689102,15000,1440p
2.3394491591117568,1.9530584171461651,7816.976767983188,4000,720p
1.2636497729402234,1.2845750730840062,13167.767378279834,8000,1080p
1.4716111718775675,1.4532959083615156,11471.965118720027,8000,1080p
1.200811977683617,0.9906052407566137,15311.74972873618,15000,1440p
0.8141896306163746,1.1371825492610061,17195.301002040767,15000,1440p
1.545084416191827,2.1627466597651,9049.61183846278,8000,1080p
1.305027005982513,1.0042185567778823,14530.4737361453,8000,1080p
1.4748346306963398,1.449422550255729,11474.514696780354,8000,1080p
1.4116617817446697,1.3643751350508386,12087.170670170062,8000,1080p
0.8849495240964335,0.8772699199618522,19041.006563136176,15000,1440p
1.0482492681578686,0.833219711896191,17834.167002336595,15000,1440p
1.482213802683294,1.5990100504256766,10889.968921324366,8000,1080p
2.3808105766095444,1.8581545707132445,7915.713112477944,4000,720p
1.7552263683176221,1.2230149427686778,11266.525608618724,8000,1080p
1.0863268824780912,1.1065893571294776,15301.283010246074,15000,1440p
0.9852350523338816,1.0047666782816091,16861.50895437759,15000,1440p
1.2913012163570685,1.100118223090798,14031.17807211063,8000,1080p
1.115668233908266,1.0273012612288968,15657.913972243603,15000,1440p
1.4579320260307769,1.1322622297652967,12954.407541023342,8000,1080p
2.043370877738892,1.7822463346364255,8770.985212910553,8000,1080p
0.9829496764943495,0.7515678991711474,19345.109251559985,15000,1440p
0.7657723111835022,1.094439367385657,18037.964381456553,15000,1440p
0.8167985793561652,1.0137013971321782,18330.74702594167,15000,1440p
1.3789671281416291,0.9282706979356652,14543.11801789778,8000,1080p
1.2116309008264845,1.5725578607419686,12051.780562858585,8000,1080p
1.5140311135956546,1.2231180099446457,12258.898030590244,8000,1080p
1.753162914159165,1.210394376128499,11322.349701140069,8000,1080p
