Edge-to-Cloud Latency (s),Edge-to-Client Latency (s),Total Network Latency (s),Fetch Latency (s),Processing Latency (s),Queueing Latency (s),Total Computing Latency (s),Throughput (kbps),Selected Bitrate (kbps)
-0.8089427419740751,-0.23735803483231602,-1.0463007768063912,0.020978763343578913,0.36176096747571224,0.7061086576500085,1.0888483884692997,788632.5621715593,30000
3.1874954492193623,0.8487436227264014,4.036239071945763,0.1437843181760943,1.0907561532492918,0.8866720802043988,2.121212551629785,5449.402455965281,4000
-1.7533253503579584,0.2411548587027193,-1.5121704916552392,0.12442669430891114,0.017493614988169263,-0.2915969370591439,-0.1496766277620635,-20191.046220765038,300
-1.4846832185793606,0.10756789342738812,-1.3771153251519725,-0.01237840838647334,-1.2161513091179095,0.20353119591964197,-1.0249985215847408,-13968.710119873753,300
-0.9714695590762872,-0.6344964375428837,-1.6059659966191708,0.03718417802474214,0.24154792373162326,-0.4693842477062054,-0.19065214594983998,-18676.440588549343,300
-0.5338107603781544,0.03963355494377012,-0.4941772054343843,0.00857333036783838,0.4984187086972238,-0.7198773972940367,-0.21288535822897448,-47456.1003854472,300
-0.016358778304984455,-0.9550374752153338,-0.9713962535203182,0.05617548283250609,1.200734542053246,0.45278500720704806,1.7096950320928002,45448.31032346862,30000
0.6394473602033057,0.01764945976915833,0.657096819972464,-0.07841562563651595,-0.9296724170201364,0.8493266586865232,-0.15876138397012907,67333.0242560611,30000
-3.4966948903937127,0.6776769019586653,-2.8190179884350473,0.02082811702516893,0.23302017247762308,-0.46372951857913425,-0.2098812290763422,-11078.094578389131,300
-3.9910517131309446,-0.357094428337595,-4.34814614146854,-0.1056478878061978,0.07096095483718393,0.2394593080617574,0.2047723750927435,-8098.335774653036,300
-4.547616150128037,-0.04825682541388013,-4.5958729755419165,-0.06486758009514389,0.5737500978668351,-0.049791743673410126,0.45909077409828103,-8111.239694536088,300
-1.1769146033420932,0.9385824627578172,-0.238332140584276,0.057741035999125896,-1.2763977143748497,2.019788052356633,0.8011313739809092,59620.60715237771,30000
-1.209496160046387,0.024131993198870796,-1.185364166847516,0.004070320200348737,-0.728599064677639,-0.5746630017087037,-1.2991917461859939,-13505.203011926518,300
-2.006802562000662,0.4611130021259458,-1.5456895598747162,0.10728934619217476,1.2383787040114724,0.9828159952522004,2.3284840454558475,42864.93149615106,30000
-3.306622896455106,0.5913234672201511,-2.715299429234955,0.13462611115349588,-0.8788956673028965,0.7443706227912087,0.00010106664180808966,-12358.003916868112,300
0.6813279510085263,0.4142296245852472,1.0955575755937734,-0.049562013810997764,-0.8484786559736162,-0.1213455142234632,-1.0193861840080771,440512.26190675184,30000
1.9005794457557166,-0.7449937841642573,1.1555856615914593,-0.15461567392026457,0.06083769683214903,-0.27654921606715654,-0.37032719315527207,42730.429977816595,30000
-1.5237218522996288,0.4466844167554495,-1.0770374355441792,-0.13979863274330187,0.07163532584499302,0.12326398008614428,0.05510067318783543,-32834.156902851246,300
1.088930369459826,-0.8205926442672067,0.26833772519261934,-0.07429517390563234,-0.6386838221286258,-0.6925383970904091,-1.4055173931246672,-29506.711161147006,300
-1.3479024453522697,0.11014560185266263,-1.2377568434996071,0.12491927455986333,1.0025466308239606,1.603762043528619,2.731227948912443,22467.41291370659,15000
-3.540954460079952,-0.6301112811909936,-4.1710657412709455,0.07369445686967516,0.1465335113000874,0.1732410174268157,0.3934689855965783,-8882.481156729484,300
-0.9017710720431735,-0.20277878045424344,-1.1045498524974169,-0.06773264783976087,0.6619766448813947,-0.08706594395452211,0.5071780530871117,-56170.09713736607,300
-1.5017433426763893,1.2239282202873032,-0.2778151223890861,-0.04276114415067135,1.0867876807331194,-0.10761516303734948,0.9364113735450984,50948.41026061568,30000
3.162032595050727,0.3502654843269597,3.5122980793776866,0.13908936113201237,-2.2666235132441677,1.289182740707413,-0.8383514114047421,12548.65416797442,8000
-0.684817596474646,1.0847798754217175,0.3999622789470715,0.07943196532031911,0.20657646469455335,-0.8956527984240935,-0.609644368409221,-160025.2653246144,300
2.116667468059644,-0.08489704605792821,2.0317704220017156,0.08532778430389393,0.9132694219878711,-1.3033838806798619,-0.3047866743880969,19429.500738710598,15000
-0.8664172341031544,-0.10033011188859181,-0.9667473459917462,-0.062322084931435824,-0.5538580925508567,1.5978463817870039,0.9816662043047113,2249128.6729923394,30000
-0.5839699347466879,-0.186017960680992,-0.7699878954276799,0.017261188569131575,-0.7945957420249151,-0.6816966733584139,-1.4590312268141974,-15053.451836811526,300
1.0423414256821615,1.0481293600783583,2.0904707857605196,0.09231394783940498,-0.2478589834553193,0.8055759056945782,0.6500308700786639,12243.901377875694,8000
-1.373975635346145,-0.2906936767532825,-1.6646693120994276,0.04674786612545842,-1.1394660185708687,-0.44777449295627947,-1.5404926454016898,-10468.872539021548,300
-3.9387445301468307,0.46643944083380123,-3.4723050893130294,-0.07800067434072751,-0.20539774937143007,-0.7846894383240863,-1.068087862036244,-7390.20440731426,300
0.6592944679984861,0.9858308489043314,1.6451253169028175,-0.16108762900485293,0.9511071403744492,0.1507782322833198,0.940797743652916,12975.804466815385,8000
2.076568825725182,0.24513299922756632,2.3217018249527483,0.051673449062925245,1.1794279164625168,-0.09285301934910468,1.1382483461763373,9697.95238092986,8000
-0.7299894857956309,0.18838711187310392,-0.5416023739225271,-0.04410091209573657,1.680929029469993,-0.8617566532478834,0.7750714641263731,143721.08946286223,30000
0.5662229313880792,0.2768400922932943,0.8430630236813735,-0.08662362507208936,-1.5349324222816336,1.217982352798328,-0.40357369455539494,76348.68420293703,30000
2.3809867531711477,0.568676540722849,2.949663293893997,-0.12570443836336195,1.4591813049205615,0.3906016394798279,1.7240785060370276,7179.350814907063,4000
1.5327431000743907,0.3243508586558295,1.8570939587302202,0.08939874679229202,-0.5010620444269852,0.2215274142458638,-0.19013588338882936,20129.139716443136,15000
