#{"t_start": 1749652646.719987, "env_id": "None"}
r,l,t,resolution,throughput
-2364.0,10000,9.465764,1440p,16604.209891709284
-1648.0,10000,16.673995,1080p,9370.274637356908
-2120.0,10000,23.957186,1440p,18150.918794674733
-2552.0,10000,31.973429,1440p,16598.309867953518
-1932.0,10000,40.334952,1440p,19109.847296625292
-1872.0,10000,51.133413,1440p,15173.046429692064
-1084.0,10000,61.830307,1440p,15380.472103161861
-1228.0,10000,71.521784,1080p,14860.458273413256
-208.0,10000,81.752291,1440p,16231.776537022113
172.0,10000,91.497371,1440p,17643.800304145978
-1504.0,10000,102.069371,1440p,15896.63990346477
-2532.0,10000,113.794756,1080p,13035.348314809793
-3424.0,10000,123.487047,1440p,22512.686947653994
-5316.0,10000,133.898009,1440p,23221.81683351864
-6844.0,10000,143.735735,1080p,8598.288389057274
-6864.0,10000,154.276089,1080p,13935.662658539748
-10340.0,10000,164.323078,1080p,14534.414743128182
-9400.0,10000,174.824261,1440p,16076.668188420992
-9016.0,10000,186.558887,1080p,12210.38733380727
-9648.0,10000,200.935436,1440p,18024.661479147024
